roman_urdu,urdu
usne zyada dhayan nahi diya,اس نے زیادہ دھیان نہیں دیا
kaam pe dhayan do yaar,کام پہ دھیان دو یار
dhayan kahan hai tera,دھیان کہاں ہے تیرا
dheyaan se padho,دھیان سے پڑھو
dheyaan rakhna apna aur ghar waalon ka,دھیان رکھنا اپنا اور گھر والوں کا
dheyaan nahi tha mujhe,دھیان نہیں تھا مجھے
dhiaan se suno kya keh rahi hun,دھیان سے سنو کیا کہہ رہی ہوں
dhiaan kahan hai aaj tera,دھیان کہاں ہے آج تیرا
kisi ne dhiaan nahi diya,کسی نے دھیان نہیں دیا
dhiyan do baat pe,دھیان دو بات پہ
dhiyan hai ya nahi,دھیان ہے یا نہیں
dhiyan rakhna apna yahan,دھیان رکھنا اپنا یہاں
bachon pe dhiyan rakho,بچوں پہ دھیان رکھو
dhyaan do padhai pe,دھیان دو پڑھائی پہ
dhyaan se karo kaam,دھیان سے کرو کام
dhyaan rakhna yaar,دھیان رکھنا یار
dhyaan nahi tha tumhara,دھیان نہیں تھا تمہارا
khel mein itna dhyaan mat do,کھیل میں اتنا دھیان مت دو
yeh kaam chhod do,یہ کام چھوڑ دو
usse chhod do,اسے چھوڑ دو
mujhe chhod ke mat jao,مجھے چھوڑ کے مت جاؤ
yeh buri aadat chhod do,یہ بری عادت چھوڑ دو
sab chhod ke gaya woh,سب چھوڑ کے گیا وہ
phone chhod aur khaana khao,فون چھوڑ اور کھانا کھاؤ
naukri chhod di usne,نوکری چھوڑ دی اس نے
yaar yeh topic chhod yaar,یار یہ ٹاپک چھوڑ یار
shaher chhod ke gaye woh log,شہر چھوڑ کے گئے وہ لوگ
chhod do yeh puraani baatein,چھوڑ دو یہ پرانی باتیں
cigarette chhod di maine,سگریٹ چھوڑ دی میں نے
kaam beech mein chhod ke mat jao,کام بیچ میں چھوڑ کے مت جاؤ
yeh sab chor aur aao,یہ سب چھوڑ اور آؤ
chor do yeh baatein,چھوڑ دو یہ باتیں
usse chor ke aa gayi woh,اسے چھوڑ کے آ گئی وہ
nasha chor do please,نشہ چھوڑ دو پلیز
chor yaar kya rakha hai isme,چھوڑ یار کیا رکھا ہے اس میں
bura chor ke acha dhundo,بُرا چھوڑ کے اچھا ڈھونڈو
chhodna easy nahi hota,چھوڑنا آسان نہیں ہوتا
usne chhodna theek samjha,اس نے چھوڑنا ٹھیک سمجھا
main nahi chahta chhodna yeh sab,میں نہیں چاہتا چھوڑنا یہ سب
yeh dost chhodna bahut mushkil tha,یہ دوست چھوڑنا بہت مشکل تھا
mobile chhodna padega kuch waqt ke liye,موبائل چھوڑنا پڑے گا کچھ وقت کے لیے
usne khud chhudna chahiya tha,اس نے خود چھوڑنا چاہیے تھا
chhudna easy lagta hai par hota nahi,چھوڑنا آسان لگتا ہے پر ہوتا نہیں
chhodo yaar kya fayda,چھوڑو یار کیا فائدہ
chhodo isko mat uljhao khud ko,چھوڑو اسے مت الجھاؤ خود کو
chhodo ab yeh baat,چھوڑو اب یہ بات
chhodo na yaar hone do,چھوڑو نا یار ہونے دو
chhodo is topic ko aage badho,چھوڑو اس ٹاپک کو آگے بڑھو
chhodo iss waqt yeh soch raho kuch aur,چھوڑو اس وقت یہ سوچ رہو کچھ اور
yeh business badhna chahiye,یہ بزنس بڑھنا چاہیے
mujhe aage badhna hai,مجھے آگے بڑھنا ہے
prices ka badhna rok nahi saktay,قیمتوں کا بڑھنا روک نہیں سکتے
usne badhna chhor diya,اس نے بڑھنا چھوڑ دیا
yeh kaam karte rahne se hi badhna possible hai,یہ کام کرتے رہنے سے ہی بڑھنا پوسیبل ہے
sehat ka badhna achha sign hai bacche mein,صحت کا بڑھنا اچھا سائن ہے بچے میں
traffic ka badhna ek badi problem hai,ٹریفک کا بڑھنا ایک بڑی پرابلم ہے
zindagi mein badhna zaroori hai ruk jaana nahi,زندگی میں بڑھنا ضروری ہے رک جانا نہیں
mehnat karo to badhna pakka hai,محنت کرو تو بڑھنا پکا ہے
waqt ke saath badhna seekhna chahiye,وقت کے ساتھ بڑھنا سیکھنا چاہیے
naye kaam mein badhna pehle slow hota hai,نئے کام میں بڑھنا پہلے سلو ہوتا ہے
isko abhi badhnaa hai,اسے ابھی بڑھنا ہے
mehnat ke bagair badhnaa mushkil hai,محنت کے بغیر بڑھنا مشکل ہے
bacche ka badhnaa dekh ke khushi hoti hai,بچے کا بڑھنا دیکھ کے خوشی ہوتی ہے
salary ka badhnaa zaroori hai,تنخواہ کا بڑھنا ضروری ہے
"apne aap ko badhnaa hota hai, dusro pe depend nahi rehna",اپنے آپ کو بڑھنا ہوتا ہے، دوسروں پہ ڈیپنڈ نہیں رہنا
yahan se badhana hi theek rahega,یہاں سے بڑھنا ہی ٹھیک رہے گا
uska badhana band ho gaya tha bimari ki wajah se,اس کا بڑھنا بند ہو گیا تھا بیماری کی وجہ سے
"badhana ek process hai, time lagta hai",بڑھنا ایک پروسیس ہے، ٹائم لگتا ہے
"yeh maafi ka waqt nahi tha, yeh galti ki baat thi",یہ معافی کا وقت نہیں تھا، یہ غلطی کی بات تھی
maafi maangna asan nahi hota sab ke liye,معافی مانگنا آسان نہیں ہوتا سب کے لیے
usne sirf ek maafi mein sab bhool gaye,اس نے صرف ایک معافی میں سب بھول گئے
mafi maangne ke baad bhi trust nahi bana,معافی مانگنے کے بعد بھی ٹرسٹ نہیں بنا
maazi mein koi bhi wapis nahi ja sakta,ماضی میں کوئی بھی واپس نہیں جا سکتا
apna maazi jaan'na chahte ho to purana album dekho,اپنا ماضی جاننا چاہتے ہو تو پرانا ایلبم دیکھو
mazi ki galtiyan aaj ka bojh nahi banni chahiye,ماضی کی غلطیاں آج کا بوجھ نہیں بننی چاہیے
"sab dost pass ho gaye, main akela fail hua",سب دوست پاس ہو گئے، میں اکیلا فیل ہوا
class mein fail hona sharmindagi ki baat nahi,کلاس میں فیل ہونا شرمندگی کی بات نہیں
"uss saal fail hua, agli saal double mehnat ki",اس سال فیل ہوا، اگلی سال ڈبل محنت کی
fail ho bhi gaye to dobara koshish karo,فیل ہو بھی گئے تو دوبارہ کوشش کرو
ghar ja,گھر جا
ghar jao,گھر جاؤ
ghar aa jao,گھر آ جاؤ
ghar par hun,گھر پر ہوں
ghar pe hun,گھر پہ ہوں
ghar nahi hun,گھر نہیں ہوں
woh ghar gaya,وہ گھر گیا
main ghar ja raha hun,میں گھر جا رہا ہوں
ghar pahonch gaya,گھر پہنچ گیا
ghar kab aoge,گھر کب آؤ گے
aaj ghar raho,آج گھر رہو
kya tum ghar ho,کیا تم گھر ہو
ghar se nikal,گھر سے نکل
ghar band kar lo,گھر بند کر لو
ghar ka khaana khao,گھر کا کھانا کھاؤ
kal ghar aana,کل گھر آنا
raat ko ghar aa jana,رات کو گھر آ جانا
ghar mein sab theek hai,گھر میں سب ٹھیک ہے
yaar ghar chhod aao pehle,یار گھر چھوڑ آؤ پہلے
ghar wale kya kehte hain,گھر والے کیا کہتے ہیں
seedha ghar jao kahi mat ruko,سیدھا گھر جاؤ کہیں مت رکو
ghar mein akele hoon aaj,گھر میں اکیلے ہوں آج
ghar ka kiraaya bahut zyada hai,گھر کا کرایہ بہت زیادہ ہے
naya ghar le liya unhone,نیا گھر لے لیا انہوں نے
ghar se kaam kar raha hun aaj,گھر سے کام کر رہا ہوں آج
mere sath aa,میرے ساتھ آ
mere sath chalo,میرے ساتھ چلو
unke sath ja raha hun,ان کے ساتھ جا رہا ہوں
kya tum mere sath ho,کیا تم میرے ساتھ ہو
woh mere sath hai,وہ میرے ساتھ ہے
apne dost ke sath gaya,اپنے دوست کے ساتھ گیا
sath mein khana khate hain,ساتھ میں کھانا کھاتے ہیں
kisi ke sath mat jao,کسی کے ساتھ مت جاؤ
hum sath sath chalte hain,ہم ساتھ ساتھ چلتے ہیں
usne mere sath aisa kiya,اس نے میرے ساتھ ایسا کیا
mere sath baar baar aisa hota hai,میرے ساتھ بار بار ایسا ہوتا ہے
tum mere sath kyu nahi aaye,تم میرے ساتھ کیوں نہیں آئے
woh apni amma ke sath aayi,وہ اپنی اماں کے ساتھ آئی
sath hota to thik hota,ساتھ ہوتا تو ٹھیک ہوتا
mujhe kisi ke sath rehna pasand nahi,مجھے کسی کے ساتھ رہنا پسند نہیں
sab ke sath achi tarah pesh aao,سب کے ساتھ اچھی طرح پیش آؤ
ghar waalon ke sath waqt bitao,گھر والوں کے ساتھ وقت بتاؤ
yaar sath mein baitho yahan,یار ساتھ میں بیٹھو یہاں
kal mere sath chalna bazaar,کل میرے ساتھ چلنا بازار
uske sath rehna asan nahi tha,اس کے ساتھ رہنا آسان نہیں تھا
mujhe dar lag raha hai,مجھے ڈر لگ رہا ہے
dar mat,ڈر مت
dar kyun raha hai,ڈر کیوں رہا ہے
koi dar nahi,کوئی ڈر نہیں
mujhe dar lagta hai andheron se,مجھے ڈر لگتا ہے اندھیروں سے
woh bahut darta hai,وہ بہت ڈرتا ہے
isse daro mat,اس سے ڈرو مت
yaar dar gaya main,یار ڈر گیا میں
itna dar kya hai,اتنا ڈر کیا ہے
usse koyi dar nahi,اسے کوئی ڈر نہیں
andheron se dar lagta hai mujhe,اندھیروں سے ڈر لگتا ہے مجھے
dar ke wajah se nahi gaya,ڈر کے وجہ سے نہیں گیا
dar ko chhod ke aage badho,ڈر کو چھوڑ کے آگے بڑھو
bacchon ko iss cheez se bahut dar lagta hai,بچوں کو اس چیز سے بہت ڈر لگتا ہے
dar mujhe bhi lag raha tha yaar,ڈر مجھے بھی لگ رہا تھا یار
kya tumhe bhi dar laga,کیا تمہیں بھی ڈر لگا
akele dar lagta hai raat ko,اکیلے ڈر لگتا ہے رات کو
dar ke mare chup raha,ڈر کے مارے چپ رہا
usse ajeeb cheez se dar lagta hai,اسے عجیب چیز سے ڈر لگتا ہے
kuch nahi hoga daro mat,کچھ نہیں ہو گا ڈرو مت
bas karo ab,بس کرو اب
bas bhi karo,بس بھی کرو
bas yahi chahiye tha,بس یہی چاہیے تھا
bas ho gaya,بس ہو گیا
bas ek minute,بس ایک منٹ
bas ab chup raho,بس اب چپ رہو
main bas dekh raha tha,میں بس دیکھ رہا تھا
bas thoda sa aur,بس تھوڑا سا اور
yaar bas kar yeh drama,یار بس کر یہ ڈرامہ
bas ek kaam karo,بس ایک کام کرو
bas itna hi karna tha,بس اتنا ہی کرنا تھا
bas waqt barbad kiya,بس وقت برباد کیا
woh bas aa raha tha,وہ بس آ رہا تھا
bas kuch nahi sochna,بس کچھ نہیں سوچنا
subah ki bas miss ho gayi,صبح کی بس مس ہو گئی
bas mein saath bethna mujhe pasand nahi,بس میں ساتھ بیٹھنا مجھے پسند نہیں
bas le lo warna der ho jayegi,بس لے لو ورنہ دیر ہو جائے گی
school ki bas aati hai dus baje,اسکول کی بس آتی ہے دس بجے
aaj bas nahi aayi,آج بس نہیں آئی
bas wali gali mein utaarna,بس والی گلی میں اتارنا
bahar jao,باہر جاؤ
bahar aa jao,باہر آ جاؤ
main bahar hun,میں باہر ہوں
bahar mat jao abhi,باہر مت جاؤ ابھی
woh bahar gaya,وہ باہر گیا
bahar bahut garmi hai,باہر بہت گرمی ہے
bahar se aa raha hun,باہر سے آ رہا ہوں
bahar khaana khayein,باہر کھانا کھائیں
bahar nikal ke baat karo,باہر نکل کے بات کرو
bahar se darwaza band karo,باہر سے دروازہ بند کرو
kya bahar barish ho rahi hai,کیا باہر بارش ہو رہی ہے
bahar andheera ho gaya,باہر اندھیرا ہو گیا
bahar bahut shor hai,باہر بہت شور ہے
bahar ka mausam acha hai aaj,باہر کا موسم اچھا ہے آج
raat ko bahar mat jao akele,رات کو باہر مت جاؤ اکیلے
bahar gaye the ghumne,باہر گئے تھے گھومنے
uska kaam bahar ka hai,اس کا کام باہر کا ہے
bahar wale shor macha rahe hain,باہر والے شور مچا رہے ہیں
bahar wala khana ghar se sasta padta hai kabhi kabhi,باہر کا کھانا گھر سے سستا پڑتا ہے کبھی کبھی
bahar bohot dhoop hai zara sunscreen laga lena,باہر بہت دھوپ ہے ذرا سنسکرین لگا لینا
kal aana,کل آنا
kal milte hain,کل ملتے ہیں
kal gaya tha,کل گیا تھا
kal nahi aa sakta,کل نہیں آ سکتا
kal kya hua,کل کیا ہوا
kal school nahi tha,کل اسکول نہیں تھا
kal raat neend nahi aayi,کل رات نیند نہیں آئی
kal ka wait kar rahe hain,کل کا انتظار کر رہے ہیں
kal se kaam shuru karein ge,کل سے کام شروع کریں گے
kal ki baat hai,کل کی بات ہے
kal mausam bahut kharab tha,کل موسم بہت خراب تھا
kal milna zaroor,کل ملنا ضرور
kal subah aana seedha yahan,کل صبح آنا سیدھا یہاں
jo kal hua woh mat socho,جو کل ہوا وہ مت سوچو
kal din bhar ghar par raha,کل دن بھر گھر پر رہا
kal raat ka khana bhi nahi khaya tha,کل رات کا کھانا بھی نہیں کھایا تھا
kal test tha aur main tayyar nahi tha,کل ٹیسٹ تھا اور میں تیار نہیں تھا
kal office mein bahut kaam tha,کل آفس میں بہت کام تھا
aaj ka din acha gaya,آج کا دن اچھا گیا
poora din kaam kiya,پورا دن کام کیا
yeh din yaad rahega,یہ دن یاد رہے گا
har din aisa hona chahiye,ہر دن ایسا ہونا چاہیے
din bhar thaka hua hun,دن بھر تھکا ہوا ہوں
kuch din aur ruko,کچھ دن اور رکو
teen din baad aaun ga,تین دن بعد آؤں گا
din charhte charhte aa gaya,دن چڑھتے چڑھتے آ گیا
yeh kaunsa din hai,یہ کونسا دن ہے
din bhar so ta raha,دن بھر سوتا رہا
aaj bahut bura din tha,آج بہت برا دن تھا
ek din main zaroor aaoonga,ایک دن میں ضرور آؤں گا
in dino bahut busy hun,ان دنوں بہت بزی ہوں
din dhale baad mein aao,دن ڈھلے بعد میں آؤ
pehle din se hi acha lag raha tha,پہلے دن سے ہی اچھا لگ رہا تھا
kuch din ke liye bahar ja raha hun,کچھ دن کے لیے باہر جا رہا ہوں
uss din kya hua tha tumhare sath,اس دن کیا ہوا تھا تمہارے ساتھ
yeh din kaafi mushkil tha mere liye,یہ دن کافی مشکل تھا میرے لیے
nazar mat lagao,نظر مت لگاؤ
uski nazar achi hai,اس کی نظر اچھی ہے
kisi ki nazar na lage,کسی کی نظر نہ لگے
meri nazar kamzor ho gayi,میری نظر کمزور ہو گئی
uski nazar iss cheez par hai,اس کی نظر اس چیز پر ہے
nazar aa raha hai kuch,نظر آ رہا ہے کچھ
nazar se ojhal ho gaya woh,نظر سے اوجھل ہو گیا وہ
nazar rakhna iss pe,نظر رکھنا اس پہ
doctor ne kaha nazar kamzor hai,ڈاکٹر نے کہا نظر کمزور ہے
nazar aata hai par pakad nahi sakta,نظر آتا ہے پر پکڑ نہیں سکتا
teri nazar meri taraf kyu thi,تیری نظر میری طرف کیوں تھی
nazar utaar lo uski,نظر اتار لو اس کی
"bacha hai, nazar lag jaati hai",بچہ ہے، نظر لگ جاتی ہے
kuch nazar nahi aa raha andheron mein,کچھ نظر نہیں آ رہا اندھیروں میں
uski nazar mere phone pe thi,اس کی نظر میرے فون پہ تھی
saman pack kar lo,سامان پیک کر لو
mera saman kahan hai,میرا سامان کہاں ہے
itna saman kahan se laye,اتنا سامان کہاں سے لائے
saman utha ke aa jao,سامان اٹھا کے آ جاؤ
ghar ka saman shift karna hai,گھر کا سامان شفٹ کرنا ہے
zyada saman mat lena safar mein,زیادہ سامان مت لینا سفر میں
saman bhar gaya hai andar,سامان بھر گیا ہے اندر
airport pe saman check in karo,ائرپورٹ پہ سامان چیک اِن کرو
saman kho gaya tha,سامان کھو گیا تھا
tera saman yahan rakh diya,تیرا سامان یہاں رکھ دیا
saman uthane mein madad karo,سامان اٹھانے میں مدد کرو
ghar mein zyada saman aa gaya hai,گھر میں زیادہ سامان آ گیا ہے
saman dhang se rakho,سامان ڈھنگ سے رکھو
bacchon ka saman alag rakhna,بچوں کا سامان الگ رکھنا
gaadi mein saman fit nahi hua,گاڑی میں سامان فِٹ نہیں ہوا
mujhe pata hai,مجھے پتہ ہے
mujhe pata nahi,مجھے پتہ نہیں
kya pata tha,کیا پتہ تھا
pata nahi kahan gaya,پتہ نہیں کہاں گیا
pata chal gaya,پتہ چل گیا
pata nahi kyun,پتہ نہیں کیوں
tumhe pata tha na,تمہیں پتہ تھا نا
mujhe kuch pata nahi tha,مجھے کچھ پتہ نہیں تھا
pata chal jayega waqt ke sath,پتہ چل جائے گا وقت کے ساتھ
unhe kuch pata nahi,انہیں کچھ پتہ نہیں
kisi ko pata nahi chalna chahiye,کسی کو پتہ نہیں چلنا چاہیے
ghar ka pata bata do,گھر کا پتہ بتا دو
address pata karo pehle,ایڈریس پتہ کرو پہلے
us dukaan ka pata pata karo,اس دکان کا پتہ پتہ کرو
uska ghar ka pata bata,اس کا گھر کا پتہ بتا
yeh pata sahi hai na,یہ پتہ سہی ہے نا
mujhe pata tha yahi hoga,مجھے پتہ تھا یہی ہو گا
ab pata chala kyon der hua,اب پتہ چلا کیوں دیر ہوئی
pata hota to kab ka bata deta,پتہ ہوتا تو کب کا بتا دیتا
pata nahi usse kya problem hai,پتہ نہیں اسے کیا پرابلم ہے
data khatam ho gaya,ڈیٹا ختم ہو گیا
mobile ka data nahi hai,موبائل کا ڈیٹا نہیں ہے
data on karo,ڈیٹا آن کرو
data band kar lena batao,ڈیٹا بند کر لینا بتاؤ
data sasta nahi yahan,ڈیٹا سستا نہیں یہاں
package mein kitna data hai,پیکج میں کتنا ڈیٹا ہے
data use ho gaya tha poora,ڈیٹا استعمال ہو گیا تھا پورا
kuch data save karo pehle,کچھ ڈیٹا سیو کرو پہلے
backup le lo data ka,بیک اَپ لے لو ڈیٹا کا
data delete ho gaya mera,ڈیٹا ڈیلیٹ ہو گیا میرا
wifi pe data nahi lagta,وائی فائی پہ ڈیٹا نہیں لگتا
data slow ho raha hai network ka,ڈیٹا سلو ہو رہا ہے نیٹ ورک کا
zyada data use mat karo,زیادہ ڈیٹا استعمال مت کرو
mera data share karo thoda,میرا ڈیٹا شیئر کرو تھوڑا
data roaming on hai kya,ڈیٹا رومنگ آن ہے کیا
yahan utar jao,یہاں اتر جاؤ
gaadi se utar,گاڑی سے اتر
agli stop pe utar jaana,اگلی اسٹاپ پہ اتر جانا
utar gaya woh gaadi se,اتر گیا وہ گاڑی سے
main utar raha hun,میں اتر رہا ہوں
bus se utar ke seedha aa jao,بس سے اتر کے سیدھا آ جاؤ
pahad se utar na mushkil tha,پہاڑ سے اترنا مشکل تھا
dheere dheere utar raha tha,دھیرے دھیرے اتر رہا تھا
utar ke call karna,اتر کے کال کرنا
rickshaw se utar gaye,رکشہ سے اتر گئے
joote utaar ke andar aao,جوتے اتار کے اندر آؤ
jacket utaar do garmi lag rahi hai,جیکٹ اتار دو گرمی لگ رہی ہے
chashma utaar ke rakho,چشمہ اتار کے رکھو
kapray utaar ke dho dena,کپڑے اتار کے دھو دینا
ghadi utaar ke rakhi thi,گھڑی اتار کے رکھی تھی
maar mat,مار مت
usne maara mujhe,اس نے مارا مجھے
maar diya,مار دیا
kyu maara usne,کیوں مارا اس نے
bacche ko mat maaro,بچے کو مت مارو
usne bahut maara,اس نے بہت مارا
maar ke uthaya,مار کے اٹھایا
macchar ko maaro,مچھر کو مارو
jaan se maar dala,جان سے مار ڈالا
dil pe maar gayi baat,دل پہ مار گئی بات
yeh baat maar gayi,یہ بات مار گئی
garm dhoop maar rahi hai,گرم دھوپ مار رہی ہے
ghabrayo mat koi nahi maar raha,گھبراؤ مت کوئی نہیں مار رہا
bachpan mein bahut maar khaya,بچپن میں بہت مار کھایا
maar se nahi darted woh,مار سے نہیں ڈرتا وہ
maar ke bhi kuch nahi hota in pe,مار کے بھی کچھ نہیں ہوتا ان پہ
sale chal rahi hai,سیل چل رہی ہے
sale pe mila tha,سیل پہ ملا تھا
badi sale hai aaj,بڑی سیل ہے آج
sale mein kharida tha,سیل میں خریدا تھا
online sale hai kal se,آن لائن سیل ہے کل سے
sale pe sab sasta milta hai,سیل پہ سب سستا ملتا ہے
yeh kapray sale mein liye the,یہ کپڑے سیل میں لیے تھے
phone sale pe aa gaya hai,فون سیل پہ آ گیا ہے
eid sale bahut badi thi is baar,عید سیل بہت بڑی تھی اس بار
sale se pehle price check karo,سیل سے پہلے پرائس چیک کرو
50% sale chal rahi hai abhi,پچاس فیصد سیل چل رہی ہے ابھی
sale ke liye line mein khade hain,سیل کے لیے لائن میں کھڑے ہیں
aaj last day hai sale ka,آج آخری دن ہے سیل کا
yeh sale har saal aati hai,یہ سیل ہر سال آتی ہے
sale wali cheez return nahi hoti,سیل والی چیز ریٹرن نہیں ہوتی
wahi kiya jo kaha tha,وہی کیا جو کہا تھا
wahi aaya hai jo tha,وہی آیا ہے جو تھا
wahi baat phir se,وہی بات پھر سے
wahi problem hai abhi bhi,وہی پرابلم ہے ابھی بھی
