roman_urdu,urdu
usne sab photos delete kar diye,اس نے سب فوٹوز ڈیلیٹ کر دیے
galti se message delete ho gaya,غلطی سے میسج ڈیلیٹ ہو گیا
yeh file delete mat karna,یہ فائل ڈیلیٹ مت کرنا
account delete karna chahta hun,اکاؤنٹ ڈیلیٹ کرنا چاہتا ہوں
delete karo yeh sab kuch kaam ka nahi,ڈیلیٹ کرو یہ سب کچھ کام کا نہیں
usne chat history delete kar di,اس نے چیٹ ہسٹری ڈیلیٹ کر دی
delet ho gaya data wapas nahi aayega,ڈیلیٹ ہو گیا ڈیٹا واپس نہیں آئے گا
permanent delete karne se pehle soch lo,پرمننٹ ڈیلیٹ کرنے سے پہلے سوچ لو
number delete kar diya usne phone se,نمبر ڈیلیٹ کر دیا اس نے فون سے
app delete kar di kaam nahi kar rahi thi,ایپ ڈیلیٹ کر دی کام نہیں کر رہی تھی
backup lena zaroori hai data ka,بیک اپ لینا ضروری ہے ڈیٹا کا
backup nahi tha isliye sab chala gaya,بیک اپ نہیں تھا اس لیے سب چلا گیا
phone ka backup le lo pehle,فون کا بیک اپ لے لو پہلے
baackup kahan save kiya tune,بیک اپ کہاں سیو کیا تو نے
har roz backup lena chahiye,ہر روز بیک اپ لینا چاہیے
backup files cloud mein hain meri,بیک اپ فائلز کلاؤڈ میں ہیں میری
bina backup ke format mat karna,بنا بیک اپ کے فارمیٹ مت کرنا
backup liya tha na tune,بیک اپ لیا تھا نا تو نے
wifi nahi chal raha ghar mein,وائی فائی نہیں چل رہا گھر میں
wifi ka password kya hai,وائی فائی کا پاس ورڈ کیا ہے
wifi se connect nahi ho raha phone,وائی فائی سے کنیکٹ نہیں ہو رہا فون
wifee slow hai aaj,وائی فائی سلو ہے آج
wifi router restart karo,وائی فائی روٹر ری اسٹارٹ کرو
bina wifi ke kaam nahi chalta,بنا وائی فائی کے کام نہیں چلتا
wifi band ho gaya raat ko,وائی فائی بند ہو گیا رات کو
wifi on karo meeting hai abhi,وائی فائی آن کرو میٹنگ ہے ابھی
tera wifi ka signal kamzor hai,تیرا وائی فائی کا سگنل کمزور ہے
wifi nahi toh data use karo,وائی فائی نہیں تو ڈیٹا یوز کرو
uska laptop crash ho gaya,اس کا لیپ ٹاپ کریش ہو گیا
laptop charge nahi ho raha,لیپ ٹاپ چارج نہیں ہو رہا
mera lapptopp bahut slow hai,میرا لیپ ٹاپ بہت سلو ہے
laptop la ao baith ke kaam karte hain,لیپ ٹاپ لے آؤ بیٹھ کے کام کرتے ہیں
laptop ki battery khatam ho gayi,لیپ ٹاپ کی بیٹری ختم ہو گئی
naya laptop lena hai mujhe,نیا لیپ ٹاپ لینا ہے مجھے
laaptop gir gaya screen toot gayi,لیپ ٹاپ گر گیا اسکرین ٹوٹ گئی
laptop mein virus aa gaya,لیپ ٹاپ میں وائرس آ گیا
kisi ne mera laptop use kiya,کسی نے میرا لیپ ٹاپ یوز کیا
laptop band nahi ho raha hang ho gaya,لیپ ٹاپ بند نہیں ہو رہا ہینگ ہو گیا
app update kar lo,ایپ اپڈیٹ کر لو
yeh app kaam nahi kar rahi,یہ ایپ کام نہیں کر رہی
konsi app use karte ho tum,کونسی ایپ یوز کرتے ہو تم
aap delete kar di maine,ایپ ڈیلیٹ کر دی میں نے
nai app install ki hai bahut acha hai,نئی ایپ انسٹال کی ہے بہت اچھی ہے
app crash ho rahi hai baar baar,ایپ کریش ہو رہی ہے بار بار
appp store se download karo,ایپ اسٹور سے ڈاؤن لوڈ کرو
app mein login nahi ho raha,ایپ میں لاگ ان نہیں ہو رہا
yeh app free hai ya paid,یہ ایپ فری ہے یا پیڈ
app ki rating bahut kharab hai,ایپ کی ریٹنگ بہت خراب ہے
phone update karo abhi,فون اپڈیٹ کرو ابھی
update ke baad sab theek ho jayega,اپڈیٹ کے بعد سب ٹھیک ہو جائے گا
naya updaate aaya hai install karo,نیا اپڈیٹ آیا ہے انسٹال کرو
update ho raha hai wait karo,اپڈیٹ ہو رہا ہے ویٹ کرو
update karne ke baad phone slow ho gaya,اپڈیٹ کرنے کے بعد فون سلو ہو گیا
automatic update band kar do,آٹومیٹک اپڈیٹ بند کر دو
app update nahi ho rahi storage nahi hai,ایپ اپڈیٹ نہیں ہو رہی اسٹوریج نہیں ہے
system update chal raha hai abhi,سسٹم اپڈیٹ چل رہا ہے ابھی
screenshot le lo iska,اسکرین شاٹ لے لو اس کا
maine screenshot bheja tha na,میں نے اسکرین شاٹ بھیجا تھا نا
screenshoott kaisa liya tune,اسکرین شاٹ کیسے لیا تو نے
screenshot send karo mujhe bhi,اسکرین شاٹ سینڈ کرو مجھے بھی
yeh error ka screenshot le lo,یہ ایرر کا اسکرین شاٹ لے لو
screen shot se proof nahi hota,اسکرین شاٹ سے پروف نہیں ہوتا
phone mein screenshot kaise lete hain,فون میں اسکرین شاٹ کیسے لیتے ہیں
screenshott blur aa raha hai,اسکرین شاٹ بلر آ رہا ہے
maine usse email kar diya,میں نے اسے ای میل کر دیا
email aaya hai check karo,ای میل آیا ہے چیک کرو
email address kya hai tera,ای میل ایڈریس کیا ہے تیرا
emmail spam mein chali gayi,ای میل اسپیم میں چلی گئی
reply karo email ka jaldi,ریپلائی کرو ای میل کا جلدی
office email par bhejo yeh document,آفس ای میل پر بھیجو یہ ڈاکیومنٹ
e-mail nahi mili abhi tak,ای میل نہیں ملی ابھی تک
email ka subject kya likhun,ای میل کا سبجیکٹ کیا لکھوں
email mein attachment nahi tha,ای میل میں اٹیچمنٹ نہیں تھا
wrong email pe chali gayi,رانگ ای میل پے چلی گئی
mujhe kal interview dena hai,مجھے کل انٹرویو دینا ہے
interview acha gaya tha mera,انٹرویو اچھا گیا تھا میرا
interview ki tayyari kar raha hun,انٹرویو کی تیاری کر رہا ہوں
intrvieew mein kya puchha unho ne,انٹرویو میں کیا پوچھا انہوں نے
interview select ho gaya kya,انٹرویو سلیکٹ ہو گیا کیا
online interview hai ya in person,آن لائن انٹرویو ہے یا اِن پرسن
interview ke liye suit pehan lo,انٹرویو کے لیے سوٹ پہن لو
intarview cancel ho gaya unka,انٹرویو کینسل ہو گیا ان کا
pehla interview tha bahut nervous tha,پہلا انٹرویو تھا بہت نروس تھا
interview result kab aayega,انٹرویو رزلٹ کب آئے گا
woh gym join karna chahta hai,وہ جم جوائن کرنا چاہتا ہے
gym chhod di usne sust ho gaya,جم چھوڑ دی اس نے سست ہو گیا
gym mein aaj nahi gaya,جم میں آج نہیں گیا
gim ka membership kitne ka hai,جم کی ممبرشپ کتنے کی ہے
gym ke baad bahut thak jaata hun,جم کے بعد بہت تھک جاتا ہوں
naya gym khula hai ghar ke paas,نیا جم کھلا ہے گھر کے پاس
gym mein trainer hai acha,جم میں ٹرینر ہے اچھا
jim time kya hai tera,جم ٹائم کیا ہے تیرا
ticket book kar liya,ٹکٹ بک کر لیا
ticket mil gayi kya concert ki,ٹکٹ مل گئی کیا کنسرٹ کی
tiket kitne ka tha,ٹکٹ کتنے کا تھا
online ticket book karo sasti milti hai,آن لائن ٹکٹ بک کرو سستی ملتی ہے
train ka ticket nahi mila,ٹرین کا ٹکٹ نہیں ملا
ticket khatam ho gayi sab,ٹکٹ ختم ہو گئی سب
ek ticket aur chahiye mujhe,ایک ٹکٹ اور چاہیے مجھے
ticket cancel karna chahta hun,ٹکٹ کینسل کرنا چاہتا ہوں
tikket window pe line bahut lambi hai,ٹکٹ ونڈو پے لائن بہت لمبی ہے
flight ka ticket bahut mahanga tha,فلائٹ کا ٹکٹ بہت مہنگا تھا
phone restart karo theek ho jayega,فون ری اسٹارٹ کرو ٹھیک ہو جائے گا
system restart kiya maine,سسٹم ری اسٹارٹ کیا میں نے
restard ke baad bhi problem hai,ری اسٹارٹ کے بعد بھی پرابلم ہے
router restart karo wifi theek ho jayega,روٹر ری اسٹارٹ کرو وائی فائی ٹھیک ہو جائے گا
restartt ho raha hai wait karo,ری اسٹارٹ ہو رہا ہے ویٹ کرو
laptop restart kiya to theek ho gaya,لیپ ٹاپ ری اسٹارٹ کیا تو ٹھیک ہو گیا
force restart karna padega hang ho gaya,فورس ری اسٹارٹ کرنا پڑے گا ہینگ ہو گیا
restart ke baad sab data chala jaata hai,ری اسٹارٹ کے بعد سب ڈیٹا چلا جاتا ہے
app crash ho gayi bata kya hua,ایپ کریش ہو گئی بتا کیا ہوا
car crash ho gayi raat ko,کار کریش ہو گئی رات کو
system crash ho gaya sab kaam band,سسٹم کریش ہو گیا سب کام بند
krash ke baad data recover nahi hua,کریش کے بعد ڈیٹا ریکور نہیں ہوا
browser crash ho gaya kaam khatam,براؤزر کریش ہو گیا کام ختم
creash kyu ho rahi hai baar baar,کریش کیوں ہو رہی ہے بار بار
game crash hoti hai purane phone mein,گیم کریش ہوتی ہے پرانے فون میں
crash report bheja hai developer ko,کریش رپورٹ بھیجی ہے ڈویلپر کو
password bhool gaya hun,پاس ورڈ بھول گیا ہوں
passward change kar lo abhi,پاس ورڈ چینج کر لو ابھی
strong password rakho account ka,اسٹرانگ پاس ورڈ رکھو اکاؤنٹ کا
password kisi ko mat batana,پاس ورڈ کسی کو مت بتانا
paasword reset karna hai,پاس ورڈ ری سیٹ کرنا ہے
galat password dal raha hai tu,غلط پاس ورڈ ڈال رہا ہے تو
wifi ka password yaad nahi raha,وائی فائی کا پاس ورڈ یاد نہیں رہا
password save karo manager mein,پاس ورڈ سیو کرو مینیجر میں
pasword expire ho gaya,پاس ورڈ ایکسپائر ہو گیا
do not share your password with anyone,پاس ورڈ کسی کے ساتھ شیئر مت کرو
server down hai abhi,سرور ڈاؤن ہے ابھی
sarver pe load bahut zyada hai,سرور پے لوڈ بہت زیادہ ہے
server se response nahi aa raha,سرور سے ریسپانس نہیں آ رہا
server crash ho gaya raat ko,سرور کریش ہو گیا رات کو
local server pe test karo pehle,لوکل سرور پے ٹیسٹ کرو پہلے
sarvar up ho gaya site theek hai,سرور اپ ہو گیا سائٹ ٹھیک ہے
server maintenance chal raha hai,سرور مینٹیننس چل رہی ہے
database server alag hota hai,ڈیٹا بیس سرور الگ ہوتا ہے
file download kar lo yahan se,فائل ڈاؤن لوڈ کر لو یہاں سے
download ho rahi hai wait karo,ڈاؤن لوڈ ہو رہی ہے ویٹ کرو
dawnload complete ho gaya,ڈاؤن لوڈ کمپلیٹ ہو گیا
download speed bahut slow hai,ڈاؤن لوڈ اسپیڈ بہت سلو ہے
app download karo store se,ایپ ڈاؤن لوڈ کرو اسٹور سے
downlod cancel kar diya space nahi thi,ڈاؤن لوڈ کینسل کر دیا اسپیس نہیں تھی
pdf download karo baad mein parh lena,پی ڈی ایف ڈاؤن لوڈ کرو بعد میں پڑھ لینا
download link kaam nahi kar raha,ڈاؤن لوڈ لنک کام نہیں کر رہا
photo upload kar di maine,فوٹو اپ لوڈ کر دی میں نے
upload ho rahi hai abhi,اپ لوڈ ہو رہی ہے ابھی
uplod speed bahut slow hai,اپ لوڈ اسپیڈ بہت سلو ہے
document upload karo form mein,ڈاکیومنٹ اپ لوڈ کرو فارم میں
upload fail ho gayi dobara karo,اپ لوڈ فیل ہو گئی دوبارہ کرو
video upload nahi ho rahi size bari hai,ویڈیو اپ لوڈ نہیں ہو رہی سائز بڑی ہے
uplaod kar diya sab,اپ لوڈ کر دیا سب
cloud pe upload rakho backup ke liye,کلاؤڈ پے اپ لوڈ رکھو بیک اپ کے لیے
woh online hai abhi,وہ آن لائن ہے ابھی
online class mein tha aaj,آن لائن کلاس میں تھا آج
online order kar lo ghar pe aayega,آن لائن آرڈر کر لو گھر پے آئے گا
onlne shopping aasan ho gayi hai,آن لائن شاپنگ آسان ہو گئی ہے
online meeting hai kal subah,آن لائن میٹنگ ہے کل صبح
last seen online tha ek ghante pehle,لاسٹ سین آن لائن تھا ایک گھنٹے پہلے
online nahi hoon abhi baad mein karo,آن لائن نہیں ہوں ابھی بعد میں کرو
pura din online rehta hai,پورا دن آن لائن رہتا ہے
app offline bhi kaam karti hai,ایپ آف لائن بھی کام کرتی ہے
oflline mode mein chal raha hai,آف لائن موڈ میں چل رہا ہے
internet nahi hai offline hun main,انٹرنیٹ نہیں ہے آف لائن ہوں میں
offline hoke baat karte hain,آف لائن ہو کے بات کرتے ہیں
offline event tha aaj,آف لائن ایونٹ تھا آج
ofline data sync nahi hota,آف لائن ڈیٹا سنک نہیں ہوتا
chat mein kya baat ki tumne,چیٹ میں کیا بات کی تم نے
chatt delete kar di usne,چیٹ ڈیلیٹ کر دی اس نے
group chat mein mat likhna yeh,گروپ چیٹ میں مت لکھنا یہ
chat history check karo,چیٹ ہسٹری چیک کرو
live chat se support milti hai,لائیو چیٹ سے سپورٹ ملتی ہے
chyat kar raha tha us se raat bhar,چیٹ کر رہا تھا اس سے رات بھر
chat pe bhejo message wahaan dekhta hun,چیٹ پے بھیجو میسج وہاں دیکھتا ہوں
personal chat hai kisi ko mat dikhana,پرسنل چیٹ ہے کسی کو مت دکھانا
video call karte hain abhi,ویڈیو کال کرتے ہیں ابھی
vidio dekh raha tha main,ویڈیو دیکھ رہا تھا میں
video share karo group mein,ویڈیو شیئر کرو گروپ میں
video ban gayi bahut acha,ویڈیو بن گئی بہت اچھا
video quality bahut kharab hai,ویڈیو کوالٹی بہت خراب ہے
short video bana raha hun,شارٹ ویڈیو بنا رہا ہوں
video mein sound nahi aa rahi,ویڈیو میں آواز نہیں آ رہی
reels aur videos dekhta rehta hai,ریلز اور ویڈیوز دیکھتا رہتا ہے
audio message bheja tha tune,آڈیو میسج بھیجا تھا تو نے
adio quality theek nahi hai,آڈیو کوالٹی ٹھیک نہیں ہے
audio band ho gaya call mein,آڈیو بند ہو گیا کال میں
audio file send karo,آڈیو فائل سینڈ کرو
audio recording on hai abhi,آڈیو ریکارڈنگ آن ہے ابھی
audio aur video dono theek hain,آڈیو اور ویڈیو دونوں ٹھیک ہیں
file share kar do mujhe,فائل شیئر کر دو مجھے
yeh file corrupt ho gayi,یہ فائل کرپٹ ہو گئی
file ka size bahut bara hai,فائل کا سائز بہت بڑا ہے
fael open nahi ho rahi,فائل اوپن نہیں ہو رہی
important files backup kar lo,امپارٹنٹ فائلز بیک اپ کر لو
file kahan save ki tune,فائل کہاں سیو کی تو نے
pdf file hai ya word,پی ڈی ایف فائل ہے یا ورڈ
file delete ho gayi galti se,فائل ڈیلیٹ ہو گئی غلطی سے
file rename kar do,فائل ری نیم کر دو
folder mein rakh do sab files,فولڈر میں رکھ دو سب فائلز
foldar ka naam kya rakha tune,فولڈر کا نام کیا رکھا تو نے
yeh folder delete mat karna,یہ فولڈر ڈیلیٹ مت کرنا
shared folder mein upload kar do,شیئرڈ فولڈر میں اپ لوڈ کر دو
folder zip karo bhejne ke liye,فولڈر زپ کرو بھیجنے کے لیے
downloads folder check karo,ڈاؤن لوڈز فولڈر چیک کرو
system slow ho gaya hai bahut,سسٹم سلو ہو گیا ہے بہت
system update chal raha hai,سسٹم اپڈیٹ چل رہی ہے
sstam restart karo theek ho jayega,سسٹم ری اسٹارٹ کرو ٹھیک ہو جائے گا
pura system hang ho gaya,پورا سسٹم ہینگ ہو گیا
system mein koi problem hai,سسٹم میں کوئی پرابلم ہے
new system install karna hoga,نیا سسٹم انسٹال کرنا ہوگا
operating sistem kya hai tera,آپریٹنگ سسٹم کیا ہے تیرا
phone format karna padega,فون فارمیٹ کرنا پڑے گا
bina backup ke format mat karna,بنا بیک اپ کے فارمیٹ مت کرنا
format karne ke baad sab chala gaya,فارمیٹ کرنے کے بعد سب چلا گیا
farmat se virus bhi chala jaata hai,فارمیٹ سے وائرس بھی چلا جاتا ہے
hard drive format kar do,ہارڈ ڈرائیو فارمیٹ کر دو
format complete ho gaya,فارمیٹ کمپلیٹ ہو گیا
mobile charge pe laga do,موبائل چارج پے لگا دو
mera mobile kho gaya,میرا موبائل کھو گیا
new mobile lena chahta hun,نیا موبائل لینا چاہتا ہوں
mobile ka screen toot gaya,موبائل کی اسکرین ٹوٹ گئی
phone band kar ke so jao,فون بند کر کے سو جاؤ
phone pe kya kar raha hai itni raat ko,فون پے کیا کر رہا ہے اتنی رات کو
fone ki battery bahut jaldi khatam hoti hai,فون کی بیٹری بہت جلدی ختم ہوتی ہے
phone silent pe hai,فون سائلنٹ پے ہے
mobile data khatam ho gaya,موبائل ڈیٹا ختم ہو گیا
phon switch off hai uska,فون سوئچ آف ہے اس کا
phone charge kar lo,فون چارج کر لو
charger kahan rakha hai tera,چارجر کہاں رکھا ہے تیرا
battery 5 percent hai abhi,بیٹری 5 پرسنٹ ہے ابھی
battry drain ho rahi hai bahut jaldi,بیٹری ڈرین ہو رہی ہے بہت جلدی
laptop charge pe laga hai,لیپ ٹاپ چارج پے لگا ہے
charj nahi ho raha kuch problem hai,چارج نہیں ہو رہا کچھ پرابلم ہے
battery backup acha nahi is phone ka,بیٹری بیک اپ اچھا نہیں اس فون کا
batrry khatam hone wali hai,بیٹری ختم ہونے والی ہے
network nahi aa raha yahan,نیٹ ورک نہیں آ رہا یہاں
signal bahut weak hai,سگنل بہت ویک ہے
netwrk problem hai aaj,نیٹ ورک پرابلم ہے آج
network change karo dusra SIM lagao,نیٹ ورک چینج کرو دوسرا سم لگاؤ
5G signal hai ghar pe,5جی سگنل ہے گھر پے
signel aata hai nahi ata raaton ko,سگنل آتا ہے نہیں آتا راتوں کو
network ki wajah se call drop ho gayi,نیٹ ورک کی وجہ سے کال ڈراپ ہو گئی
app install kar lo pehle,ایپ انسٹال کر لو پہلے
install ho rahi hai wait karo,انسٹال ہو رہی ہے ویٹ کرو
instol nahi ho rahi kuch error aa raha hai,انسٹال نہیں ہو رہی کچھ ایرر آ رہا ہے
manually install karna padega,مینوئلی انسٹال کرنا پڑے گا
install ke baad restart karna hoga,انسٹال کے بعد ری اسٹارٹ کرنا ہوگا
software install hai ya nahi check karo,سافٹ ویئر انسٹال ہے یا نہیں چیک کرو
uninstall kar do yeh app kaam ki nahi,اَن انسٹال کر دو یہ ایپ کام کی نہیں
install karne ki permission nahi mil rahi,انسٹال کرنے کی پرمیشن نہیں مل رہی
login nahi ho raha account mein,لاگ ان نہیں ہو رہا اکاؤنٹ میں
password sahi hai phir bhi lgin fail ho raha hai,پاس ورڈ صحیح ہے پھر بھی لاگ ان فیل ہو رہا ہے
log out karo pehle phir dobara karo,لاگ آؤٹ کرو پہلے پھر دوبارہ کرو
login karte waqt OTP aata hai,لاگ ان کرتے وقت او ٹی پی آتا ہے
logout ho gaya tha apne aap,لاگ آؤٹ ہو گیا تھا آپ سے آپ
logeenn session expire ho gaya,لاگ ان سیشن ایکسپائر ہو گیا
dusre device se logout karo,دوسرے ڈیوائس سے لاگ آؤٹ کرو
account block ho gaya mera,اکاؤنٹ بلاک ہو گیا میرا
naya account banana chahta hun,نیا اکاؤنٹ بنانا چاہتا ہوں
acccount verify karo pehle,اکاؤنٹ ویریفائی کرو پہلے
bank account mein paise nahi hain,بینک اکاؤنٹ میں پیسے نہیں ہیں
account delete karna hai,اکاؤنٹ ڈیلیٹ کرنا ہے
fake account hai uska,فیک اکاؤنٹ ہے اس کا
akaunt suspended ho gaya,اکاؤنٹ سسپینڈ ہو گیا
account mein activity suspicious lag rahi hai,اکاؤنٹ میں ایکٹیوٹی سسپیشس لگ رہی ہے
profile update karo apni,پروفائل اپڈیٹ کرو اپنی
profil picture change kar li usne,پروفائل پکچر چینج کر لی اس نے
profile private kar lo,پروفائل پرائیویٹ کر لو
uski profile dekh raha tha,اس کی پروفائل دیکھ رہا تھا
profile mein sahi information raho,پروفائل میں صحیح انفارمیشن رکھو
LinkedIn profile theek karo,لنکڈاِن پروفائل ٹھیک کرو
post kar di maine photo,پوسٹ کر دی میں نے فوٹو
poost delete kar do,پوسٹ ڈیلیٹ کر دو
share karo yeh sab ke sath,شیئر کرو یہ سب کے ساتھ
like aa gayi teri post pe,لائک آ گئی تیری پوسٹ پے
comment karo kuch to,کمنٹ کرو کچھ تو
cumment mat karo unnecessary,کمنٹ مت کرو ان نیسیسری
kitni likes aayi,کتنی لائکس آئیں
share nahi karna tha yeh post,شیئر نہیں کرنا تھا یہ پوسٹ
comment section band kar do,کمنٹ سیکشن بند کر دو
notification band kar do yeh app ki,نوٹیفکیشن بند کر دو یہ ایپ کی
bahut notifications aa rahi hain,بہت نوٹیفکیشنز آ رہی ہیں
notfication aayi thi teri,نوٹیفکیشن آئی تھی تیری
push notification enable karo,پش نوٹیفکیشن اینیبل کرو
notifications check karo,نوٹیفکیشنز چیک کرو
silent mode mein notifications nahi aatein,سائلنٹ موڈ میں نوٹیفکیشنز نہیں آتیں
settings mein jao change karo,سیٹنگز میں جاؤ چینج کرو
privacy settigns check kar lo,پرائیویسی سیٹنگز چیک کر لو
default settings restore kar do,ڈیفالٹ سیٹنگز ریسٹور کر دو
setting change ki kisi ne,سیٹنگ چینج کی کسی نے
settingss reset ho gayi,سیٹنگز ری سیٹ ہو گئی
notification settings off karo,نوٹیفکیشن سیٹنگز آف کرو
camera kharab ho gaya phone ka,کیمرہ خراب ہو گیا فون کا
camra se acha photo aata hai,کیمرہ سے اچھا فوٹو آتا ہے
front camera on karo,فرنٹ کیمرہ آن کرو
camera access dena hoga app ko,کیمرہ ایکسیس دینی ہوگی ایپ کو
kamera blur kar raha hai,کیمرہ بلر کر رہا ہے
camera mode switch karo,کیمرہ موڈ سوئچ کرو
DSLR camera kitne ka hai,ڈی ایس ایل آر کیمرہ کتنے کا ہے
security camera laga do ghar mein,سیکیوریٹی کیمرہ لگا دو گھر میں
link bhejo mujhe,لنک بھیجو مجھے
link kaam nahi kar raha,لنک کام نہیں کر رہا
yeh link pe click karo,یہ لنک پے کلک کرو
link expire ho gaya,لنک ایکسپائر ہو گیا
referral link share karo,ریفرل لنک شیئر کرو
call kar lo abhi warna bhool jaoge,کال کر لو ابھی ورنہ بھول جاؤ گے
call drop ho gayi network ki wajah se,کال ڈراپ ہو گئی نیٹ ورک کی وجہ سے
missed call aayi thi teri,مسڈ کال آئی تھی تیری
video call pe baat karte hain,ویڈیو کال پے بات کرتے ہیں
conference call hai kal,کانفرنس کال ہے کال
screen toot gayi,اسکرین ٹوٹ گئی
screen lock laga do,اسکرین لاک لگا دو
brightness screen ki kam karo,برائٹنس اسکرین کی کم کرو
screen share kar sakte ho,اسکرین شیئر کر سکتے ہو
mobile data khatam ho gaya,موبائل ڈیٹا ختم ہو گیا
data save karo wifi pe karo,ڈیٹا بچاؤ وائی فائی پے کرو
personal data share mat karo,پرسنل ڈیٹا شیئر مت کرو
data recovery possible hai,ڈیٹا ریکوری پاسیبل ہے
online order kar liya,آن لائن آرڈر کر لیا
order cancel ho gaya mera,آرڈر کینسل ہو گیا میرا
order deliver ho gaya,آرڈر ڈیلیور ہو گیا
order track karo,آرڈر ٹریک کرو
delivery kal tak aayegi,ڈیلیوری کل تک آئے گی
delivery late ho gayi,ڈیلیوری لیٹ ہو گئی
delivery address sahi diya tha,ڈیلیوری ایڈریس صحیح دیا تھا
meeting kal hai office mein,میٹنگ کل ہے آفس میں
online meeting pe tha subah,آن لائن میٹنگ پے تھا صبح
meeting cancel ho gayi,میٹنگ کینسل ہو گئی
meeting mein late aa gaye,میٹنگ میں لیٹ آ گئے
report ready kar lo,رپورٹ ریڈی کر لو
report mein galti hai,رپورٹ میں غلطی ہے
monthly report bhejni hai,منتھلی رپورٹ بھیجنی ہے
form fill karo pehle,فارم فل کرو پہلے
form submit ho gaya,فارم سبمٹ ہو گیا
online form hai ya physical,آن لائن فارم ہے یا فزیکل
contact save kar lo number,کانٹیکٹ سیو کر لو نمبر
contact list mein nahi hai,کانٹیکٹ لسٹ میں نہیں ہے
contact block kar diya usne,کانٹیکٹ بلاک کر دیا اس نے
customer support se baat karo,کسٹمر سپورٹ سے بات کرو
support nahi mil raha kisi taraf se,سپورٹ نہیں مل رہا کسی طرف سے
status dekha tha tera,اسٹیٹس دیکھا تھا تیرا
status update kiya usne,اسٹیٹس اپڈیٹ کیا اس نے
payment status check karo,پیمنٹ اسٹیٹس چیک کرو
payment ho gayi kya,پیمنٹ ہو گئی کیا
online payment kar do,آن لائن پیمنٹ کر دو
payment fail ho gayi,پیمنٹ فیل ہو گئی
payment pending hai abhi,پیمنٹ پینڈنگ ہے ابھی
location share kar do apni,لوکیشن شیئر کر دو اپنی
location on hai kya tera,لوکیشن آن ہے کیا تیرا
GPS location track kar raha hai,جی پی ایس لوکیشن ٹریک کر رہا ہے
print kar do yeh document,پرنٹ کر دو یہ ڈاکیومنٹ
printer kaam nahi kar raha,پرنٹر کام نہیں کر رہا
print preview dekh lo pehle,پرنٹ پریویو دیکھ لو پہلے
